DATE,PRODUCTION_WH
2017-09-23,26604.0
2017-09-24,28920.0
2017-09-25,28895.0
2017-09-26,24957.0
2017-09-27,19511.0
2017-09-28,12611.0
2017-09-29,19694.0
2017-09-30,4425.0
2017-10-01,11535.0
2017-10-02,14772.0
2017-10-03,19704.0
2017-10-04,14329.0
2017-10-05,8089.0
2017-10-06,10225.0
2017-10-07,4364.0
2017-10-08,8573.0
2017-10-09,13951.0
2017-10-10,7730.0
2017-10-11,3578.0
2017-10-12,21719.0
2017-10-13,9108.0
2017-10-14,23432.0
2017-10-15,23331.0
2017-10-16,19879.0
2017-10-17,10160.0
2017-10-18,22954.0
2017-10-19,17010.0
2017-10-20,8979.0
2017-10-21,9719.0
2017-10-22,5536.0
2017-10-23,6409.0
2017-10-24,2290.0
2017-10-25,7065.0
2017-10-26,2981.0
2017-10-27,15108.0
2017-10-28,6554.0
2017-10-29,10687.0
2017-10-30,15458.0
2017-10-31,6617.0
2017-11-01,17802.0
2017-11-02,4189.0
2017-11-03,9019.0
2017-11-04,10163.0
2017-11-05,12540.0
2017-11-06,14968.0
2017-11-07,19431.0
2017-11-08,1170.0
2017-11-09,3145.0
2017-11-10,1408.0
2017-11-11,1522.0
2017-11-12,4722.0
2017-11-13,13589.0
2017-11-14,5980.0
2017-11-15,2152.0
2017-11-16,4404.0
2017-11-17,11148.0
2017-11-18,4428.0
2017-11-19,5757.0
2017-11-20,1041.0
2017-11-21,1020.0
2017-11-22,12333.0
2017-11-23,3819.0
2017-11-24,6847.0
2017-11-25,5576.0
2017-11-26,8760.0
2017-11-27,475.0
2017-11-28,12665.0
2017-11-29,1198.0
2017-11-30,865.0
2017-12-01,2605.0
2017-12-02,1909.0
2017-12-03,596.0
2017-12-04,1701.0
2017-12-05,759.0
2017-12-06,882.0
2017-12-07,623.0
2017-12-08,5626.0
2017-12-09,2791.0
2017-12-10,1336.0
2017-12-11,443.0
2017-12-12,611.0
2017-12-13,467.0
2017-12-14,1090.0
2017-12-15,1810.0
2017-12-16,2925.0
2017-12-17,5330.0
2017-12-18,4019.0
2017-12-19,2008.0
2017-12-20,1066.0
2017-12-21,706.0
2017-12-22,620.0
2017-12-23,1122.0
2017-12-24,661.0
2017-12-25,1062.0
2017-12-26,3270.0
2017-12-27,5874.0
2017-12-28,6137.0
2017-12-29,1041.0
2017-12-30,2472.0
2017-12-31,2693.0
2018-01-01,3349.0
2018-01-02,4744.0
2018-01-03,2329.0
2018-01-04,865.0
2018-01-05,3081.0
2018-01-06,1209.0
2018-01-07,1012.0
2018-01-08,2006.0
2018-01-09,2653.0
2018-01-10,1547.0
2018-01-11,2905.0
2018-01-12,1710.0
2018-01-13,2027.0
2018-01-14,13424.0
2018-01-15,1322.0
2018-01-16,7477.0
2018-01-17,3009.0
2018-01-18,6300.0
2018-01-19,9049.0
2018-01-20,944.0
2018-01-21,4907.0
2018-01-22,2474.0
2018-01-23,8293.0
2018-01-24,1730.0
2018-01-25,1994.0
2018-01-26,3333.0
2018-01-27,4421.0
2018-01-28,1645.0
2018-01-29,1192.0
2018-01-30,15024.0
2018-01-31,716.0
2018-02-01,4348.0
2018-02-02,2724.0
2018-02-03,1985.0
2018-02-04,8133.0
2018-02-05,16556.0
2018-02-06,5328.0
2018-02-07,17818.0
2018-02-08,5399.0
2018-02-09,8314.0
